whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
294,tan,apte,14348,1,I|VIII|X,slp1-shared
296,tap,mw,82608,2,I|IV,unique-slp1
296,tap,apte,14391,1,I|IV|X,unique-slp1
297,tam,mw,82867,,IV,unique-slp1
297,tam,apte,14419,1,IV,unique-slp1
298,tark,mw,83341,,X,unique-slp1
298,tark,apte,14477,1,X,unique-slp1
299,tarj,mw,83427,,I,unique-slp1
299,tarj,apte,14487,1,I|X,unique-slp1
300,tas,apte,14534,1,IV,unique-slp1
302,tAy,apte,14595,1,I,unique-slp1
305,tij,mw,84753,,I,unique-slp1
305,tij,apte,14645,1,I|X,unique-slp1
306,tim,apte,14666,1,I|IV,unique-slp1
308,til,apte,14695,1,I|VI|X,unique-slp1
309,tu,apte,14727,1,II,unique-slp1
311,tuj,mw,85813,2,I|VI,unique-slp1
311,tuj,apte,14740,1,I,unique-slp1
312,tud,mw,85879,1,VI,unique-slp1
312,tud,apte,14762,1,VI,unique-slp1
313,tur,apte,14782,1,III|VI,unique-slp1
314,turv,apte,14802,1,I,unique-slp1
315,tul,mw,86105,,X,unique-slp1
315,tul,apte,14804,1,I|X,unique-slp1
316,tuS,apte,14819,1,I,unique-slp1
317,tuz,mw,86265,,IV,unique-slp1
317,tuz,apte,14820,1,IV,unique-slp1
320,tfd,apte,14882,1,I|VII,unique-slp1
321,tfp,mw,86723,1,I|IV|V|VI,unique-slp1
321,tfp,apte,14883,1,I|IV|V|VI|X,unique-slp1
322,tfz,mw,86774,1,IV,unique-slp1
322,tfz,apte,14896,1,IV,unique-slp1
323,tfh,apte,14909,1,VI|VII|X,unique-slp1
324,tyaj,mw,87337,1,I,unique-slp1
324,tyaj,apte,14989,1,I,unique-slp1
325,trap,apte,15001,1,I,unique-slp1
326,tras,mw,87510,2,I|IV,unique-slp1
326,tras,apte,15012,1,I|IV|X,unique-slp1
327,trA,apte,15021,1,II,unique-slp1
328,truw,apte,15033,1,IV|VI,unique-slp1
329,tvakz,apte,15071,1,I,unique-slp1
331,tvac,apte,15078,1,VI,unique-slp1
332,tvar,apte,15090,1,I,unique-slp1
333,tviz,apte,15098,1,I,unique-slp1
334,tsar,apte,15103,1,I,unique-slp1
335,daMS,apte,15115,1,I|X,unique-slp1
337,dakz,mw,89316,,I,unique-slp1
337,dakz,apte,15133,1,I,unique-slp1
338,daG,apte,15146,1,IV|V,unique-slp1
339,dad,apte,15165,1,I,unique-slp1
340,daD,apte,15171,1,I,unique-slp1
342,daB,apte,15189,1,I|V|X,unique-slp1
343,dam,mw,90246,1,IV|IX,unique-slp1
343,dam,apte,15193,1,IV,unique-slp1
344,day,apte,15214,1,I,unique-slp1
345,daridrA,apte,15228,1,II,unique-slp1
346,dal,mw,90700,,I,unique-slp1
346,dal,apte,15249,1,I,unique-slp1
347,das,apte,15278,1,I|IV|X,unique-slp1
348,dah,mw,91164,1,I,unique-slp1
348,dah,apte,15286,1,I,unique-slp1
349,dA,apte,15299,1,I|II|III|IV,slp1-shared
350,dA,mw,91212,1,I|III,class
350,dA,apte,15299,1,I|II|III|IV,slp1-shared
351,dA,apte,15299,1,I|II|III|IV,slp1-shared
352,dA,apte,15299,1,I|II|III|IV,slp1-shared
353,dAS,mw,91851,1,I|II|V,unique-slp1
353,dAS,apte,15394,1,I|V|X,unique-slp1
354,dAs,apte,15402,1,I|V,unique-slp1
355,div,mw,92229,2,IV,unique-slp1
355,div,apte,15430,1,I|IV|X,unique-slp1
356,diS,mw,92472,1,III|VI,unique-slp1
356,diS,apte,15439,1,VI,unique-slp1
357,dih,mw,92642,1,II,unique-slp1
357,dih,apte,15448,1,II,unique-slp1
358,dI,apte,15451,1,III|IV,slp1-shared
359,dI,apte,15451,1,III|IV,slp1-shared
360,dIkz,apte,15456,1,I,unique-slp1
361,dIDI,apte,15465,1,II,unique-slp1
362,dIp,mw,92769,,IV,unique-slp1
362,dIp,apte,15467,1,IV,unique-slp1
365,du,apte,15486,1,I|IV|V,unique-slp1
